,Rank,Player (age that year),Total Zone Runs as LF (s.1953),Year,Throws
0,1.,Barry Bonds (24),37,1989,L
1,2.,Brett Gardner (27),34,2011,L
2,3.,Barry Bonds (25),28,1990,L
3,4.,Garret Anderson (31),25,2003,L
4,4.,Alex Gordon (30),25,2014,R
5,4.,Carl Yastrzemski+ (28),25,1968,R
6,7.,Rickey Henderson+ (30),24,1989,L
7,7.,Carl Yastrzemski+ (26),24,1966,R
8,9.,Warren Cromartie (24),23,1978,L
9,9.,Bernard Gilkey (29),23,1996,R
10,9.,Lonnie Smith (33),23,1989,R
11,9.,Carl Yastrzemski+ (27),23,1967,R
12,13.,Darin Erstad (25),22,1999,L
13,13.,Darin Erstad (26),22,2000,L
14,13.,Luis Gonzalez (25),22,1993,R
15,13.,Rickey Henderson+ (22),22,1981,L
16,17.,Carl Crawford (23),21,2005,L
17,17.,Willie Wilson (23),21,1979,R
18,19.,Brett Gardner (26),20,2010,L
19,19.,Alex Gordon (33),20,2017,R
20,19.,Pete Rose (32),20,1973,R
21,19.,Pete Rose (33),20,1974,R
22,19.,Greg Vaughn (27),20,1993,R
23,24.,Coco Crisp (25),19,2005,R
24,24.,Ron Gant (28),19,1993,R
25,24.,Brian Giles (27),19,1998,L
26,24.,Luis Gonzalez (31),19,1999,R
27,24.,Carl Yastrzemski+ (22),19,1962,R
28,29.,Barry Bonds (22),18,1987,L
29,29.,Barry Bonds (26),18,1991,L
30,29.,Rocky Colavito (28),18,1962,R
31,29.,Warren Cromartie (25),18,1979,L
32,29.,Juan Encarnacion (23),18,1999,R
33,29.,Cliff Floyd (32),18,2005,R
34,29.,Rickey Henderson+ (21),18,1980,L
35,29.,Matt Holliday (27),18,2007,R
36,29.,Carmelo Martinez (23),18,1984,R
37,29.,Jay Payton (35),18,2008,R
38,29.,Willie Wilson (24),18,1980,R
39,40.,Andrew Benintendi (23),17,2018,L
40,40.,Carl Crawford (26),17,2008,L
41,40.,David DeJesus (29),17,2009,L
42,40.,Bernard Gilkey (25),17,1992,R
43,40.,Ryan Langerhans (26),17,2006,L
44,40.,Shannon Stewart (26),17,2000,R
45,46.,Bill Buckner (26),16,1976,L
46,46.,Eric Byrnes (31),16,2007,R
47,46.,Rocky Colavito (27),16,1961,R
48,46.,Carl Crawford (27),16,2009,L
49,46.,Corey Dickerson (29),16,2018,R
50,46.,Luis Gonzalez (24),16,1992,R
51,46.,Mickey Hatcher (29),16,1984,R
52,46.,Rickey Henderson+ (31),16,1990,L
53,46.,Minnie Minoso (28),16,1954,R
54,46.,Juan Pierre (32),16,2010,L
55,46.,Tim Raines+ (32),16,1992,R
56,46.,Gary Ward (29),16,1983,R
57,46.,Willie Wilson (25),16,1981,R
58,46.,Willie Wilson (26),16,1982,R
59,60.,Lance Berkman (27),15,2003,L
60,60.,Yoenis Céspedes (29),15,2015,R
61,60.,Jose Cruz (31),15,1979,L
62,60.,Luis Gonzalez (23),15,1991,R
63,60.,Alex Gordon (29),15,2013,R
64,60.,Robbie Grossman (29),15,2019,L
65,60.,Geoff Jenkins (24),15,1999,R
66,60.,Jacque Jones (27),15,2002,L
67,60.,Ray Lankford (32),15,1999,L
68,60.,Minnie Minoso (33),15,1959,R
69,60.,Martin Prado (28),15,2012,R
70,60.,Gene Richards (28),15,1982,L
71,60.,Joe Rudi (24),15,1971,R
72,60.,Alfonso Soriano (30),15,2006,R
73,60.,B.J. Surhoff (34),15,1999,R
74,75.,Barry Bonds (32),14,1997,L
75,75.,Pat Burrell (26),14,2003,R
76,75.,Rocky Colavito (29),14,1963,R
77,75.,Carl Crawford (22),14,2004,L
78,75.,Johnny Damon (25),14,1999,L
79,75.,Johnny Damon (34),14,2008,L
80,75.,David DeJesus (28),14,2008,L
81,75.,Dan Gladden (29),14,1987,R
82,75.,Luis Gonzalez (29),14,1997,R
83,75.,Mike Greenwell (24),14,1988,R
84,75.,Charlie Maxwell (30),14,1957,L
85,75.,Troy O'Leary (30),14,2000,L
86,75.,Al Smith (31),14,1959,R
87,75.,Carl Yastrzemski+ (31),14,1971,R
88,89.,Bob Allison (30),13,1965,R
89,89.,Jason Botts (26),13,2007,R
90,89.,Gates Brown (25),13,1964,R
91,89.,Wil Cordero (25),13,1997,R
92,89.,Khris Davis (26),13,2014,R
93,89.,Matt Diaz (28),13,2006,R
94,89.,Adam Duvall (29),13,2018,R
95,89.,George Foster (28),13,1977,R
96,89.,Bernard Gilkey (30),13,1997,R
97,89.,Tony Gonzalez (32),13,1969,R
98,89.,Larry Hisle (29),13,1976,R
99,89.,Monte Irvin+ (35),13,1954,R
100,89.,Wally Moon (30),13,1960,R
101,89.,Ben Oglivie (31),13,1980,L
102,89.,Dave Roberts (34),13,2006,L
103,89.,Bobby Thomson (32),13,1956,R
104,89.,Gary Ward (28),13,1982,R
105,89.,Gary Ward (32),13,1986,R
106,89.,Carl Yastrzemski+ (23),13,1963,R
107,108.,Garret Anderson (25),12,1997,L
108,108.,Barry Bonds (30),12,1995,L
109,108.,Barry Bonds (31),12,1996,L
110,108.,Barry Bonds (38),12,2003,L
111,108.,Marty Cordova (25),12,1995,R
112,108.,Cliff Floyd (28),12,2001,R
113,108.,Dan Gladden (30),12,1988,R
114,108.,Luis Gonzalez (28),12,1996,R
115,108.,Alex Gordon (27),12,2011,R
116,108.,Melvin Mora (30),12,2002,R
117,108.,Laynce Nix (28),12,2009,L
118,108.,Troy O'Leary (29),12,1999,L
119,108.,Al Oliver (30),12,1977,L
120,108.,Gerardo Parra (23),12,2010,L
121,108.,Chad Pinder (26),12,2018,R
122,108.,Tom Poquette (26),12,1978,R
123,108.,Jim Rice+ (30),12,1983,R
124,108.,Pete Rose (31),12,1972,R
125,108.,Norm Siebern (24),12,1958,R
126,108.,Terrmel Sledge (27),12,2004,L
127,108.,B.J. Surhoff (32),12,1997,R
128,108.,Charles Thomas (25),12,2004,L
129,108.,Gerald Williams (28),12,1995,R
130,131.,Harry Anderson (27),11,1959,R
131,131.,Ryan Braun (34),11,2018,R
132,131.,Brett Butler (26),11,1983,L
133,131.,Bob Cerv (33),11,1958,R
134,131.,Vince Coleman (23),11,1985,R
135,131.,Johnny Damon (35),11,2009,L
136,131.,George Foster (26),11,1975,R
137,131.,Ron Gant (35),11,2000,R
138,131.,Brett Gardner (33),11,2017,L
139,131.,Alex Gordon (34),11,2018,R
140,131.,Mike Greenwell (31),11,1995,R
141,131.,Mickey Hatcher (30),11,1985,R
142,131.,Chris Heisey (28),11,2013,R
143,131.,Larry Herndon (28),11,1982,R
144,131.,Larry Herndon (31),11,1985,R
145,131.,Willie Horton (26),11,1969,R
146,131.,Kelly Johnson (23),11,2005,R
147,131.,David Murphy (27),11,2009,L
148,131.,Eric Owens (31),11,2002,R
149,131.,David Peralta (31),11,2019,L
150,131.,Ryan Raburn (30),11,2011,R
151,131.,Leon Roberts (28),11,1979,R
152,131.,Gary Roenicke (27),11,1982,R
153,131.,Alfonso Soriano (31),11,2007,R
154,131.,Alfonso Soriano (36),11,2012,R
155,131.,B.J. Surhoff (30),11,1995,R
156,131.,Rondell White (30),11,2002,R
157,131.,Brad Wilkerson (26),11,2003,L
158,131.,Billy Williams+ (25),11,1963,R
159,131.,Jim Wohlford (25),11,1976,R
160,131.,Carl Yastrzemski+ (29),11,1969,R
161,131.,Eric Young Jr. (29),11,2014,R
162,163.,Garret Anderson (23),10,1995,L
163,163.,Barry Bonds (33),10,1998,L
164,163.,Steve Brye (23),10,1972,R
165,163.,Chris Burke (25),10,2005,R
166,163.,Ellis Burks (31),10,1996,R
167,163.,Dave Collins (30),10,1983,L
168,163.,Billy Conigliaro (22),10,1970,R
169,163.,Coco Crisp (24),10,2004,R
170,163.,Jose Cruz (28),10,1976,L
171,163.,Jose Cruz (33),10,1981,L
172,163.,Jose Cruz (35),10,1983,L
173,163.,Ron Gant (27),10,1992,R
174,163.,Alex Gordon (35),10,2019,R
175,163.,Alex Gordon (36),10,2020,R
176,163.,Aubrey Huff (33),10,2010,R
177,163.,Monte Irvin+ (37),10,1956,R
178,163.,Conor Jackson (26),10,2008,R
179,163.,Reed Johnson (29),10,2006,R
180,163.,Cleon Jones (26),10,1969,L
181,163.,Darryl Motley (24),10,1984,R
182,163.,David Murphy (30),10,2012,L
183,163.,Irv Noren (30),10,1955,L
184,163.,Tyler O'Neill (25),10,2020,R
185,163.,Albert Pujols (23),10,2003,R
186,163.,Rick Reichardt (26),10,1969,R
187,163.,Jim Rice+ (33),10,1986,R
188,163.,Frank Robinson+ (21),10,1957,R
189,163.,Frank Robinson+ (25),10,1961,R
190,163.,Roy White (25),10,1969,R
191,163.,Brad Wilkerson (27),10,2004,L
192,163.,Reggie Willits (26),10,2007,R
193,163.,Carl Yastrzemski+ (37),10,1977,R
194,163.,Christian Yelich (23),10,2015,R
195,163.,Eric Young Sr. (26),10,1993,R
196,197.,Dustin Ackley (26),9,2014,R
197,197.,Garret Anderson (24),9,1996,L
198,197.,Oscar Azocar (25),9,1990,L
199,197.,Barry Bonds (28),9,1993,L
200,197.,Steve Braun (27),9,1975,R
201,197.,Lou Brock+ (27),9,1966,L
202,197.,Kris Bryant (24),9,2016,R
203,197.,Eric Byrnes (29),9,2005,R
204,197.,Michael Conforto (22),9,2015,R
205,197.,Jeff Conine (30),9,1996,R
206,197.,Jeff Conine (38),9,2004,R
207,197.,Carl Crawford (20),9,2002,L
208,197.,Jose Cruz (28),9,2002,R
209,197.,Johnny Damon (26),9,2000,L
210,197.,Adam Dunn (23),9,2003,R
211,197.,Adam Duvall (27),9,2016,R
212,197.,Pedro Feliz (30),9,2005,R
213,197.,Ron Gant (34),9,1999,R
214,197.,Ralph Garr (25),9,1971,R
215,197.,Mike Greenwell (29),9,1993,R
216,197.,Jimmie Hall (28),9,1966,R
217,197.,Rickey Henderson+ (35),9,1994,L
218,197.,Larry Herndon (32),9,1986,R
219,197.,Chuck Hinton (30),9,1964,R
220,197.,Pete Incaviglia (26),9,1990,R
221,197.,Chris James (24),9,1987,R
222,197.,Gregg Jefferies (28),9,1996,R
223,197.,Geoff Jenkins (29),9,2004,R
224,197.,JaCoby Jones (26),9,2018,R
225,197.,Jim King (23),9,1956,R
226,197.,Carlos Lee (35),9,2011,R
227,197.,Candy Maldonado (29),9,1990,R
228,197.,Carmelo Martinez (27),9,1988,R
229,197.,Charlie Maxwell (29),9,1956,L
230,197.,Xavier Nady (29),9,2008,R
231,197.,Colby Rasmus (29),9,2016,L
232,197.,Bombo Rivera (26),9,1979,R
233,197.,Bip Roberts (28),9,1992,R
234,197.,Frank Robinson+ (20),9,1956,R
235,197.,Eddie Rosario (23),9,2015,R
236,197.,Eddie Rosario (25),9,2017,R
237,197.,Joe Rudi (26),9,1973,R
238,197.,Danny Santana (26),9,2017,R
239,197.,Lonnie Smith (34),9,1990,R
240,197.,Justin Upton (26),9,2014,R
241,197.,Justin Upton (30),9,2018,R
242,197.,Roy White (27),9,1971,R
243,197.,Roy White (28),9,1972,R
244,197.,Roy White (29),9,1973,R
245,197.,Randy Winn (35),9,2009,R
246,197.,Christian Yelich (22),9,2014,R
247,197.,Joel Youngblood (27),9,1979,R
248,197.,Richie Zisk (27),9,1976,R
249,250.,Ronald Acuna Jr. (21),8,2019,R
250,250.,Mike Aldrete (26),8,1987,L
251,250.,Brady Anderson (28),8,1992,L
252,250.,Garret Anderson (30),8,2002,L
253,250.,Garret Anderson (34),8,2006,L
254,250.,Garret Anderson (36),8,2008,L
255,250.,Dusty Baker (29),8,1978,R
256,250.,Kevin Bass (30),8,1989,R
257,250.,Juan Beniquez (25),8,1975,R
258,250.,Ken Berry (25),8,1966,R
259,250.,Barry Bonds (23),8,1988,L
260,250.,Darren Bragg (26),8,1996,R
261,250.,Lou Brock+ (26),8,1965,L
262,250.,Pat Burrell (33),8,2010,R
263,250.,Bobby Clark (25),8,1980,R
264,250.,Jerald Clark (28),8,1992,R
265,250.,Dave Collins (33),8,1986,L
266,250.,Michael Conforto (23),8,2016,R
267,250.,Chad Curtis (29),8,1998,R
268,250.,Tommy Davis (23),8,1962,R
269,250.,Tommy Davis (25),8,1964,R
270,250.,Corey Dickerson (28),8,2017,R
271,250.,Jim Eisenreich (37),8,1996,L
272,250.,Jacoby Ellsbury (24),8,2008,L
273,250.,Lew Ford (27),8,2004,R
274,250.,Joey Gallo (25),8,2019,R
275,250.,Ron Gant (31),8,1996,R
276,250.,Ron Gant (32),8,1997,R
277,250.,Dan Gladden (33),8,1991,R
278,250.,Doug Glanville (26),8,1997,R
279,250.,Alex Gordon (31),8,2015,R
280,250.,Rusty Greer (27),8,1996,L
281,250.,Lourdes Gurriel Jr. (26),8,2020,R
282,250.,Chris Heisey (29),8,2014,R
283,250.,Rickey Henderson+ (23),8,1982,L
284,250.,Rickey Henderson+ (24),8,1983,L
285,250.,Matt Holliday (33),8,2013,R
286,250.,Ender Inciarte (24),8,2015,L
287,250.,Monte Irvin+ (34),8,1953,R
288,250.,Stan Javier (37),8,2001,R
289,250.,Geoff Jenkins (25),8,2000,R
290,250.,Desmond Jennings (25),8,2012,R
291,250.,Lou Johnson (31),8,1966,R
292,250.,Cleon Jones (27),8,1970,L
293,250.,Ryan Klesko (27),8,1998,L
294,250.,Ryan Langerhans (25),8,2005,L
295,250.,Rick Leach (32),8,1989,L
296,250.,Don Lock (25),8,1962,R
297,250.,Shane Mack (30),8,1994,R
298,250.,Lee Maye (27),8,1962,R
299,250.,Minnie Minoso (29),8,1955,R
300,250.,Nyjer Morgan (28),8,2009,L
301,250.,Laynce Nix (29),8,2010,L
302,250.,Joe Orsulak (31),8,1993,L
303,250.,Marcell Ozuna (27),8,2018,R
304,250.,Gerardo Parra (24),8,2011,L
305,250.,Corey Patterson (31),8,2011,R
306,250.,Tony Phillips (35),8,1994,R
307,250.,Juan Pierre (30),8,2008,L
308,250.,Lou Piniella (25),8,1969,R
309,250.,Lou Piniella (30),8,1974,R
310,250.,Lenny Randle (27),8,1976,R
311,250.,Gary Redus (30),8,1987,R
312,250.,Tommie Reynolds (27),8,1969,R
313,250.,Bip Roberts (26),8,1990,R
314,250.,Bip Roberts (33),8,1997,R
315,250.,Jackie Robinson+ (34),8,1953,R
316,250.,Trayvon Robinson (24),8,2012,R
317,250.,Joe Rudi (30),8,1977,R
318,250.,Luis Salazar (32),8,1988,R
319,250.,Kyle Schwarber (25),8,2018,R
320,250.,Bobby Smith (26),8,1960,R
321,250.,B.J. Surhoff (35),8,2000,R
322,250.,B.J. Surhoff (40),8,2005,R
323,250.,Milt Thompson (32),8,1991,R
324,250.,Andres Torres (35),8,2013,R
325,250.,Tom Tresh (27),8,1966,R
326,250.,Justin Upton (29),8,2017,R
327,250.,Scott Van Slyke (28),8,2015,R
328,250.,Dayán Viciedo (23),8,2012,R
329,250.,Gary Ward (30),8,1984,R
330,250.,Roy White (33),8,1977,R
331,250.,Gerald Williams (30),8,1997,R
332,250.,Chris Young (30),8,2014,R
333,334.,Greg Allen (26),7,2019,R
334,334.,Felipe Alou (30),7,1965,R
335,334.,Garret Anderson (29),7,2001,L
336,334.,Garret Anderson (35),7,2007,L
337,334.,Marlon Anderson (34),7,2008,R
338,334.,Richie Ashburn+ (33),7,1960,R
339,334.,Danny Bautista (25),7,1997,R
340,334.,Charlie Blackmon (25),7,2012,L
341,334.,Gregor Blanco (30),7,2014,L
342,334.,Don Buford (32),7,1969,R
343,334.,Chris Burke (28),7,2008,R
344,334.,Marlon Byrd (31),7,2009,R
345,334.,Ivan Calderon (28),7,1990,R
346,334.,Frank Catalanotto (27),7,2001,R
347,334.,Yoenis Céspedes (30),7,2016,R
348,334.,Endy Chavez (30),7,2008,L
349,334.,Ryan Church (28),7,2007,L
350,334.,Gene Clines (29),7,1976,R
351,334.,Gil Coan (31),7,1953,R
352,334.,Chris Coghlan (31),7,2016,R
353,334.,Vince Coleman (28),7,1990,R
354,334.,Carl Crawford (28),7,2010,L
355,334.,Carl Crawford (31),7,2013,L
356,334.,Warren Cromartie (23),7,1977,L
357,334.,Jose Cruz (32),7,1980,L
358,334.,Jose Cruz (38),7,1986,L
359,334.,Nicky Delmonico (24),7,2017,R
360,334.,Andre Ethier (24),7,2006,L
361,334.,Mike Felder (27),7,1989,R
362,334.,George Foster (30),7,1979,R
363,334.,Tito Francona (27),7,1961,L
364,334.,Curtis Goodwin (24),7,1997,L
365,334.,Tommy Harper (32),7,1973,R
366,334.,Willie Harris (30),7,2008,R
367,334.,Norris Hopper (28),7,2007,R
